attributes,2XS,XS,S,M,L,XL,2XL
Body Height,< 166 cm,166 - 172 cm,172 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,> 196 cm
Seat Height,625 - 725 mm,658 - 758 mm,685 - 785 mm,713 - 813 mm,745 - 845 mm,775 - 875 mm,805 - 905 mm
Seat Tube Length,434 mm,467 mm,494 mm,522 mm,554 mm,584 mm,614 mm
Top Tube Length,513 mm,529 mm,543 mm,556 mm,571 mm,596 mm,612 mm
Head Tube Length,89 mm,107 mm,130 mm,148 mm,174 mm,195 mm,213 mm
Head Tube Angle,"69,6°",71°,"72,3°","73,3°","73,3°","73,5°","73,8°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm,415 mm
Wheel Base,983 mm,988 mm,993 mm,996 mm,1.011 mm,1.034 mm,1.046 mm
Stack,500 mm,522 mm,546 mm,567 mm,592 mm,613 mm,631 mm
Reach,368 mm,378 mm,385 mm,391 mm,399 mm,418 mm,428 mm
Stack+,567 mm,587 mm,612 mm,633 mm,660 mm,681 mm,700 mm
Reach+,433 mm,444 mm,462 mm,479 mm,497 mm,516 mm,536 mm
Stand-over Height,720 mm,748 mm,775 mm,801 mm,828 mm,851 mm,874 mm
Bottom Bracket Offset,72 mm,72 mm,70 mm,70 mm,70 mm,70 mm,70 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Cockpit Dimensions,90-390,90-390,90-390,100-410,110-410,110-410,120-430
Crank Length,"170,0 mm","170,0 mm","172,5 mm","172,5 mm","175,0 mm","175,0 mm","175,0 mm"
Chainring Size,52/36,52/36,52/36,52/36,52/36,52/36,52/36
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm,350 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"28""","28""","28""","28""","28""","28""","28"""
Disc Size,140 mm,160 mm,160 mm,160 mm,160 mm,160 mm,160 mm
