attributes,3XS,2XS,XS,S,M,L,XL,2XL
Body Height,< 160 cm,160 - 166 cm,166 - 172 cm,172 - 178 cm,178 - 184 cm,184 - 190 cm,190 - 196 cm,> 196 cm
Seat Height,608 - 708 mm,638 - 738 mm,668 - 768 mm,698 - 798 mm,728 - 828 mm,758 - 858 mm,788 - 888 mm,818 - 918 mm
Seat Tube Length,422 mm,452 mm,482 mm,512 mm,542 mm,572 mm,602 mm,632 mm
Top Tube Length,501 mm,522 mm,532 mm,550 mm,562 mm,578 mm,601 mm,617 mm
Head Tube Length,94 mm,113 mm,102 mm,119 mm,146 mm,192 mm,192 mm,214 mm
Head Tube Angle,"70,2°","71,5°",71°,"72,25°","72,5°","72,5°","72,7°","72,7°"
Seat Tube Angle,"73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°","73,5°"
Chainstay Length,415 mm,415 mm,425 mm,425 mm,425 mm,425 mm,425 mm,425 mm
Wheel Base,970 mm,980 mm,1.000 mm,1.006 mm,1.018 mm,1.034 mm,1.055 mm,1.072 mm
Stack,487 mm,510 mm,527 mm,547 mm,572 mm,593 mm,616 mm,637 mm
Reach,357 mm,371 mm,376 mm,388 mm,393 mm,402 mm,418 mm,428 mm
Stack+,576 mm,598 mm,618 mm,637 mm,663 mm,686 mm,709 mm,732 mm
Reach+,403 mm,419 mm,433 mm,446 mm,462 mm,481 mm,497 mm,517 mm
Stand-over Height,725 mm,749 mm,783 mm,807 mm,839 mm,859 mm,883 mm,909 mm
Bottom Bracket Offset,55 mm,55 mm,66 mm,66 mm,64 mm,64 mm,64 mm,64 mm
Spacer,"27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm","27,5 mm"
Cockpit Dimensions,70-380,70-400,80-420,80-420,90-420,100-440,100-440,110-460
Crank Length,"165,0 mm","165,0 mm","170,0 mm","170,0 mm","172,5 mm","175,0 mm","175,0 mm","175,0 mm"
Chainring Size,46/36,46/36,46/36,46/36,46/36,46/36,46/36,46/36
Seat Post Diameter,"27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm","27,2 mm"
Seat Post Length,345 mm,345 mm,345 mm,345 mm,345 mm,345 mm,345 mm,345 mm
Maximum Seat Post Insertion Depth,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm,207 mm
Seat Post Insertion Depth,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm,107 mm
Wheel Size,"27,5""","27,5""","28""","28""","28""","28""","28""","28"""
Disc Size,140 mm,140 mm,140 mm,160 mm,160 mm,160 mm,160 mm,160 mm
